DateTime,Open,High,Low,Close,HL
2006-01-03 02:00:00,14843,14871,14830,14866,Day Low
2006-01-03 07:59:00,14942,14950,14936,14941,Day High
2006-01-04 02:00:00,15075,15123,15075,15119,Day Low
2006-01-04 07:26:00,15202,15210,15198,15210,Day High
2006-01-05 02:00:00,15237,15383,15237,15359,Day High
2006-01-05 02:00:00,15237,15383,15237,15359,Day Low
2006-01-06 02:29:00,15261,15267,15251,15253,Day Low
2006-01-06 07:59:00,15328,15348,15318,15341,Day High
2006-01-09 02:00:00,15430,15529,15430,15529,Day Low
2006-01-09 06:41:00,15599,15610,15595,15608,Day High
2006-01-10 02:00:00,15661,15673,15610,15610,Day High
2006-01-10 02:29:00,15501,15516,15498,15514,Day Low
2006-01-11 02:00:00,15576,15576,15576,15576,Day Low
2006-01-11 06:58:00,15734,15735,15729,15730,Day High
2006-01-12 02:09:00,15785,15792,15783,15787,Day High
2006-01-12 07:42:00,15651,15658,15651,15655,Day Low
2006-01-13 02:15:00,15675,15678,15671,15671,Day Low
2006-01-13 02:16:00,15673,15677,15671,15671,Day Low
2006-01-13 07:59:00,15786,15798,15778,15794,Day High
2006-01-16 03:20:00,15817,15818,15813,15814,Day High
2006-01-16 06:36:00,15747,15750,15744,15747,Day Low
2006-01-18 02:00:00,15546,15546,15409,15412,Day Low
2006-01-18 02:00:00,15546,15546,15409,15412,Day High
2006-01-18 02:01:00,15415,15419,15409,15418,Day Low
2006-01-19 02:00:00,15460,15568,15460,15568,Day Low
2006-01-19 07:56:00,15677,15680,15667,15671,Day High
2006-01-20 02:14:00,15785,15790,15782,15788,Day High
2006-01-20 04:24:00,15567,15570,15567,15569,Day Low
2006-01-23 02:00:00,15617,15617,15459,15459,Day High
2006-01-23 06:40:00,15422,15422,15410,15415,Day Low
2006-01-24 02:03:00,15543,15555,15543,15548,Day High
2006-01-24 03:06:00,15465,15465,15463,15463,Day Low
2006-01-25 03:05:00,15573,15573,15563,15563,Day High
2006-01-25 06:48:00,15493,15493,15485,15485,Day Low
2006-01-26 02:04:00,15553,15567,15548,15562,Day High
2006-01-26 03:33:00,15467,15474,15467,15474,Day Low
2006-01-27 02:00:00,15569,15673,15569,15667,Day Low
2006-01-27 07:40:00,15767,15773,15762,15762,Day High
2006-02-01 02:01:00,15805,15810,15790,15799,Day High
