DateTime,Value,Type
1969-11-24 3:00:00,150,Lower Low
2006-01-03 7:59:00,14936,Higher Low
2006-01-10 2:00:00,15673,Higher High
2006-01-10 2:29:00,15498,Lower Low
2006-01-12 2:09:00,15792,Higher High
2006-01-12 7:42:00,15651,Lower Low
2006-01-13 2:15:00,15678,Higher High
2006-01-13 7:59:00,15778,Higher Low
2006-01-16 3:20:00,15818,Higher High
2006-01-19 2:00:00,15460,Higher Low
2006-01-20 2:14:00,15790,Higher High
2006-01-23 6:40:00,15410,Lower Low
2006-01-24 2:03:00,15555,Higher High
2006-01-24 3:06:00,15463,Lower Low
2006-01-25 3:05:00,15573,Higher High
2006-01-25 6:48:00,15485,Lower Low
2006-01-26 2:04:00,15567,Higher High
2006-01-26 3:33:00,15467,Lower Low
2006-02-01 2:01:00,15810,Higher High
2006-02-01 6:30:00,15652,Lower Low
2006-02-02 2:00:00,15782,Higher High
2006-02-06 2:01:00,15399,Lower Low
2006-02-06 7:58:00,15601,Higher High
2006-02-08 6:32:00,15324,Lower Low
2006-02-09 2:13:00,15468,Higher High
2006-02-10 2:22:00,15355,Lower Low
2006-02-10 7:01:00,15443,Higher High
2006-02-14 2:05:00,10721,Lower Low
2006-02-15 2:17:00,15517,Higher High
2006-02-15 6:30:00,15312,Lower Low
2006-02-16 2:28:00,15495,Higher High
2006-02-17 6:31:00,15438,Lower Low
2006-02-20 3:32:00,15630,Higher High
2006-02-21 4:29:00,15568,Lower Low
2006-02-21 7:42:00,15663,Higher High
2006-02-23 2:32:00,15610,Higher Low
2006-02-23 7:13:00,15852,Higher High
2006-02-24 3:33:00,15778,Lower Low
2006-02-27 2:00:00,15947,Higher High
2006-03-01 2:01:00,15769,Lower Low
2006-03-02 3:57:00,15925,Higher High
2006-03-02 7:37:00,15836,Lower Low
2006-03-03 2:00:00,15908,Higher High
2006-03-08 3:55:00,15341,Lower Low
2006-03-10 2:08:00,15521,Lower High
2006-03-10 2:44:00,15397,Lower Low
2006-03-14 2:00:00,15573,Higher High
2006-03-14 3:30:00,15462,Lower Low
2006-03-20 4:25:00,15973,Higher High
2006-03-22 7:55:00,15612,Lower Low
2006-03-27 7:30:00,15852,Higher High
2006-03-28 2:00:00,15774,Lower Low
2006-03-28 6:54:00,15923,Higher High
2006-03-30 2:00:00,15766,Higher Low
2006-03-31 2:04:00,15965,Higher High
2006-03-31 7:37:00,15737,Lower Low
2006-04-03 7:58:00,16080,Higher High
2006-04-04 7:52:00,16104,Higher Low
2006-04-06 7:59:00,16427,Higher High
2006-04-07 2:15:00,16322,Lower Low
2006-04-07 7:33:00,16539,Higher High
2006-04-10 2:39:00,16375,Lower Low
2006-04-10 7:59:00,16532,Higher High
2006-04-11 3:06:00,16382,Lower Low
2006-04-12 2:00:00,16442,Higher High
2006-04-12 7:22:00,16261,Lower Low
2006-04-13 2:00:00,16360,Higher High
2006-04-13 7:55:00,16436,Higher Low
2006-04-19 2:01:00,16902,Higher High
2006-04-20 2:26:00,16752,Lower Low
2006-04-20 7:52:00,16956,Higher High
2006-04-21 2:21:00,16808,Lower Low
2006-04-24 2:00:00,16944,Lower High
2006-04-24 7:39:00,16681,Lower Low
2006-04-25 2:03:00,16749,Higher High
2006-04-27 2:00:00,16690,Lower Low
2006-05-03 7:17:00,17102,Higher High
2006-05-04 2:00:00,16969,Lower Low
2006-05-09 2:00:00,17339,Higher High
2006-05-09 7:59:00,17121,Lower Low
2006-05-10 2:06:00,17240,Higher High
2006-05-11 2:11:00,17004,Lower Low
2006-05-12 2:00:00,17073,Lower High
2006-05-16 6:40:00,16242,Lower Low
2006-05-18 2:00:00,16504,Lower High
2006-05-19 2:03:00,16156,Lower Low
2006-05-19 6:35:00,16362,Higher High
2006-05-23 6:59:00,15691,Lower Low
2006-05-24 2:00:00,15930,Higher High
2006-05-25 6:48:00,15627,Lower Low
2006-05-29 4:13:00,16006,Higher High
2006-05-29 7:35:00,15919,Lower Low
2006-05-30 2:00:00,15979,Higher High
2006-05-30 7:59:00,15838,Lower Low
2006-06-01 2:45:00,15923,Higher High
2006-06-01 7:57:00,15603,Lower Low
2006-06-05 3:45:00,16057,Higher High
2006-06-06 2:15:00,15819,Lower Low
2006-06-06 7:59:00,15976,Higher High
2006-06-09 3:57:00,15402,Lower Low
2006-06-09 7:59:00,15644,Higher High
2006-06-12 7:14:00,15664,Higher Low
2006-06-13 2:00:00,15498,Lower High
2006-06-14 2:00:00,15189,Lower Low
2006-06-15 2:19:00,15455,Higher High
2006-06-15 4:26:00,15355,Lower Low
2006-06-19 7:59:00,15790,Higher High
2006-06-21 7:59:00,15647,Higher Low
2006-06-22 6:38:00,15892,Higher High
2006-06-26 6:35:00,15827,Higher Low
2006-06-27 3:00:00,15893,Higher High
2006-06-28 2:01:00,15606,Lower Low
2006-06-30 7:59:00,16274,Higher High
2006-07-03 2:14:00,16235,Lower Low
2006-07-03 3:58:00,16367,Higher High
2006-07-04 3:05:00,16313,Lower Low
2006-07-04 3:44:00,16385,Higher High
2006-07-06 2:01:00,16139,Lower Low
2006-07-06 7:52:00,16448,Higher High
2006-07-10 2:03:00,16341,Lower Low
2006-07-10 7:59:00,16612,Higher High
2006-07-11 7:59:00,16472,Lower Low
2006-07-13 2:11:00,16560,Higher High
2006-07-14 3:48:00,16062,Lower Low
2006-07-14 4:15:00,16161,Higher High
2006-07-17 2:00:00,15947,Lower Low
2006-07-18 3:17:00,16110,Higher High
2006-07-19 2:00:00,16059,Higher Low
2006-07-20 7:59:00,16486,Higher High
2006-07-21 2:03:00,16376,Lower Low
2006-07-21 7:06:00,16486,Higher High
2006-07-24 7:59:00,16470,Higher Low
2006-07-25 7:58:00,16591,Lower High
2006-07-26 2:26:00,16566,Lower Low
2006-07-28 2:41:00,17035,Higher High
2006-07-28 3:06:00,16918,Lower Low
2006-07-31 2:02:00,17118,Higher High
2006-07-31 7:59:00,16963,Lower Low
2006-08-01 2:00:00,17024,Higher High
2006-08-03 2:00:00,16996,Higher Low
2006-08-04 7:58:00,16879,Lower High
2006-08-07 6:40:00,16812,Lower Low
2006-08-08 7:20:00,17065,Higher High
2006-08-09 2:04:00,16959,Lower Low
2006-08-09 7:59:00,17355,Higher High
2006-08-10 7:58:00,17206,Lower Low
2006-08-11 3:17:00,17324,Higher High
2006-08-14 3:11:00,17216,Higher Low
2006-08-14 7:26:00,17311,Higher High
2006-08-14 7:26:00,17286,Higher Low
2006-08-15 2:25:00,17295,Lower High
2006-08-15 3:38:00,17243,Lower Low
2006-08-17 2:00:00,17546,Higher High
2006-08-17 7:49:00,17329,Lower Low
2006-08-18 2:28:00,17414,Higher High
2006-08-18 7:41:00,17316,Lower Low
2006-08-21 2:22:00,17330,Higher High
2006-08-25 6:34:00,16895,Lower Low
2006-08-28 2:43:00,16999,Higher High
2006-08-28 7:59:00,16908,Lower Low
2006-08-31 2:02:00,17426,Higher High
2006-09-01 2:48:00,17308,Lower Low
2006-09-04 7:52:00,17539,Higher High
2006-09-05 7:43:00,17404,Lower Low
2006-09-06 2:00:00,17452,Higher High
2006-09-07 3:53:00,17044,Lower Low
2006-09-08 3:58:00,17172,Higher High
2006-09-12 2:00:00,16915,Lower Low
2006-09-14 2:02:00,17305,Higher High
2006-09-14 3:53:00,17140,Lower Low
2006-09-18 7:11:00,17428,Higher High
2006-09-18 7:11:00,17414,Higher Low
2006-09-19 7:07:00,17324,Lower High
2006-09-20 2:00:00,17222,Lower Low
2006-09-25 4:07:00,17688,Higher High
2006-09-26 7:07:00,17275,Lower Low
2006-09-27 3:57:00,17413,Higher High
2006-09-29 3:46:00,17350,Lower Low
2006-10-03 7:30:00,17649,Higher High
2006-10-04 6:31:00,17539,Lower Low
2006-10-05 7:33:00,17942,Higher High
2006-10-06 3:49:00,17847,Lower Low
2006-10-06 7:03:00,17932,Higher High
2006-10-09 2:54:00,17589,Lower Low
2006-10-10 7:05:00,17856,Higher High
2006-10-11 3:35:00,17738,Lower Low
2006-10-12 2:06:00,17950,Higher High
2006-10-13 7:55:00,17947,Lower Low
2006-10-16 2:00:00,18071,Higher High
2006-10-17 2:57:00,17822,Lower Low
2006-10-17 7:07:00,18075,Higher High
2006-10-18 2:03:00,17877,Lower Low
2006-10-19 2:02:00,18076,Higher High
2006-10-19 6:49:00,17938,Lower Low
2006-10-23 2:00:00,18189,Higher High
2006-10-24 2:00:00,18105,Higher Low
2006-10-24 2:16:00,18176,Higher High
2006-10-25 2:41:00,18106,Lower Low
2006-10-27 3:43:00,18466,Higher High
2006-10-31 7:59:00,18311,Higher Low
2006-11-01 7:03:00,18495,Higher High
2006-11-02 7:57:00,18692,Higher Low
2006-11-03 2:38:00,18772,Higher High
2006-11-03 4:12:00,18644,Lower Low
2006-11-07 7:07:00,19156,Higher High
2006-11-07 7:43:00,18850,Lower Low
2006-11-08 2:00:00,19037,Higher High
2006-11-08 7:45:00,18746,Lower Low
2006-11-10 3:02:00,18977,Lower High
2006-11-13 2:06:00,18715,Lower Low
2006-11-14 2:11:00,18993,Higher High
2006-11-14 7:12:00,18759,Lower Low
2006-11-16 2:13:00,19238,Higher High
2006-11-16 2:57:00,19044,Lower Low
2006-11-17 2:50:00,19219,Higher High
2006-11-20 7:29:00,18929,Lower Low
2006-11-23 7:46:00,19254,Lower High
2006-11-24 2:04:00,19198,Lower Low
2006-11-27 2:10:00,19328,Higher High
2006-11-28 7:56:00,18619,Lower Low
2006-11-30 2:46:00,19034,Higher High
2006-12-04 2:15:00,18587,Lower Low
2006-12-06 2:27:00,19126,Higher High
2006-12-06 3:45:00,18933,Lower Low
2006-12-08 3:21:00,18799,Higher High
2006-12-08 7:20:00,18663,Lower Low
2006-12-12 2:00:00,19019,Higher High
2006-12-12 4:29:00,18819,Lower Low
2006-12-13 2:00:00,18872,Higher High
2006-12-13 4:29:00,18622,Lower Low
2006-12-15 6:39:00,19131,Higher High
2006-12-15 7:29:00,19013,Lower Low
2006-12-18 7:02:00,19217,Higher High
2006-12-19 6:31:00,18905,Lower Low
2006-12-20 7:47:00,19276,Higher High
2006-12-21 2:32:00,19158,Lower Low
2006-12-27 7:59:00,19745,Higher High
2006-12-28 2:02:00,19686,Lower Low
2006-12-28 7:58:00,20044,Higher High
2006-12-29 7:14:00,19885,Lower Low
2007-01-03 2:38:00,20560,Higher High
2007-01-05 2:03:00,19743,Lower Low
2007-01-05 7:59:00,20226,Higher High
2007-01-08 2:14:00,19843,Lower Low
2007-01-09 2:00:00,20173,Higher High
2007-01-10 4:18:00,19505,Lower Low
2007-01-11 2:10:00,19701,Higher High
2007-01-11 7:54:00,19347,Lower Low
2007-01-12 4:17:00,19682,Higher High
2007-01-12 7:24:00,19519,Lower Low
2007-01-16 2:00:00,20147,Higher High
2007-01-17 2:07:00,19839,Lower Low
2007-01-18 7:59:00,20305,Higher High
2007-01-19 4:15:00,20329,Higher Low
2007-01-23 2:00:00,20828,Higher High
2007-01-23 4:18:00,20588,Lower Low
2007-01-24 2:02:00,20976,Higher High
2007-01-24 7:32:00,20725,Lower Low
2007-01-25 2:00:00,20900,Higher High
2007-01-26 4:14:00,20203,Lower Low
2007-01-29 3:15:00,20212,Higher High
2007-01-30 2:42:00,20160,Lower Low
2007-01-31 2:01:00,20520,Higher High
2007-01-31 7:46:00,20005,Lower Low
2007-02-02 4:18:00,20706,Higher High
2007-02-05 7:35:00,20407,Lower Low
2007-02-07 2:47:00,20742,Higher High
2007-02-08 4:14:00,20315,Lower Low
2007-02-09 2:01:00,20775,Higher High
